numcode,risk_assessment
70003,"The political situation of the Tajiks changed radically in 2001, when the United States led a coalition in overthrowing the Pashtun-dominated Taliban government. Although led by a Pashtun, Hamid Karzai, the interim government set in place by 2002 was dominated by ethnic Tajiks. Tajiks are unlikely to rebel against the central state so long as they maintain representation. However, Tajiks continue to be involved in intercommunal conflict, primarily with Pashtuns, Uzbeks, and Hazaras. Until the central government is strong enough to contain warlordism, such clashes are likely to continue. Tajiks have engaged in moderate levels of protest, a situation that is unlikely to change. However, Tajik energy seems mostly directed at conventional electoral mobilization."
61501,"Algerian Berbers possess several risk factors for rebellion. These include persistent protest in the past decade, territorial concentration, and high levels of group organization and cohesion. While Berber citizens have not been subject to harsh government repression, many Berbers hold the government responsible for not protecting them from attacks by Muslim fundamentalist militants. Despite these risks, Berber rebellion seems unlikely in the near future. Berber political organization is overwhelmingly conventional, with Berber political parties and cultural organizations focusing their energies on nonviolent protests, electoral politics, and national and international public awareness campaigns. Continued democratization of Algerian politics will also alleviate the risk of Berber rebellion.  Berber protest will probably continue so long as Berbers remain underrepresented in national politics and Tamazight remains an unofficial language. This is despite the fact that, in 1995, and again in 2002, the government recognized Tamazight as a national language. In addition, in 2000, the government created the National Pedagogic and Language Centre for the Teaching of Tamazight, and in 2005, Algerian state television launched a Berber-language television station. Nevertheless, Berbers still cannot participate fully in Algerian society without knowledge of French or Arabic. Algeria's new and unstable democracy provides ample opportunities for Berbers, particularly those in Kabylia, to protest. The issue of the Berber language is not going away and is driving a wedge between the Berbers and the secular government. This estrangement leaves the Berbers in a very difficult situation. If Islamic fundamentalists come to power, the Berbers are sure to suffer greatly. Conversely, the more the government tries to play the Arabic national card, the more the Berbers are going to suffer. For the situation to improve, the establishment of a real democracy is needed. As such, most organizations representing Berbers advocate for democratic reforms. Moves towards an electoral representation alone may result in the language issue becoming even more potent as an issue around which to garner votes. Although Berber protests since independence have been primarily nonviolent, recent events also demonstrate that violence results from certain catalysts. The assassination of Berber entertainer/nationalist Matoub Lounes in 1998 sparked riots, and annual protests (with limited instances of violence) have been held each year since. The death of a Berber youth being held in police custody in spring 2001 also sparked three months of riots, in which several dozen Berbers were killed by security forces. The incident and its aftermath mobilized several hundred thousand Berbers to take to the streets. In the lead up to the 2004 presidential election, a protest turned violent, with protestors throwing rocks and security forces using tear gas on the crowd.  These violent outbursts highlight the tension underlying Berber-Arab tensions in Algeria and are a potent warning of the possibilities for Berber rebellion if their grievances are not addressed in a meaningful way. Although Islamic fundamentalism has been forced into a retreat, it remains a threat to Berber lives, identity, language and culture. Islamic fundamentalists consider the Berbers secular, at best, and some go so far as to call them heretics. Should the Islamic fundamentalists gain power, their campaign to Islamicize the Berbers is likely to be bloody. Given Berbers continued identification with secular culture in Algeria, and the move for Berber political parties to push for a separation between Islam and the state, the Berbers continue to be important targets for the Islamic fundamentalist movement. In October, 2006, the president of the Provincial Peoples Assembly in Tizi Ouzou and Socialist Forces Front (Front des Forces Socialistes) member Raba Aissant was murdered, most likely by Islamic militants."
77101,"The Chittagong Hill Tribes possess many factors that increase the likelihood of rebellion in the future: territorial concentration; Bangladesh's limited history of democratic rule; high levels of group organization and cohesion; and Bengali repression against tribal members.  There has also been growing dissatisfaction with the lack of full implementation of the 1997 peace agreement. Factors inhibiting rebellion include efforts at negotiations and reforms between the main political party of the region and the government of Bangladesh.  Transnational support and international assistance have included the initiation of development projects by various IGOS and UN agencies.  Despite the slow implementation of the peace agreement, there has been an extremely limited amount of protest generated by tribals in 2006.  The PCJSS, ruling party of the Chittagong Regional Council, is the main channel through which the Hill people express their demands for full implementation of the peace accord.  However, this party does not represent the anti-peace accord members of the United People's Democratic Front, (UPDF), whom call for full autonomy in the region.  Still, the Bangladeshi military has continued violently repressing the tribal populations.  Some of the key issues that remain to be addressed include the creation of a commission to manage land distribution and ownership rights, the removal of the army from tribal areas, and potential limits on Bengali immigration into the hill tracts. How these issues are addressed can significantly influence tribal opposition to the agreement."
2002,"There is no reason to believe that the French Canadians outside of Quebec will be involved in militant political action in the future. They lack the organization, concentration and past history of political action that are preconditions for rebellion. Their wide dispersion and lack of organization will also limit the group's ability to protest. The fate of the French Canadians outside of Quebec is inevitably linked with those within Quebec. Attention in Canada has always been placed on negotiations between Quebec and the federal government; those outside the province are mostly ignored. This has led, for example, to grievances about the lack of French language schools outside Quebec. Nevertheless, so long as Quebec remains a part of Canada, the rest of the French population remains somewhat protected. Accordingly, any eventual solution or lack thereof of the Quebec issue will play a strong role in determining the status of French-speakers living elsewhere in Canada."
71005,"Although the Tibetans have strong transnational support from various countries, and the lack of serious armed conflicts in neighboring countries may contribute to the avoidance of rebellion, the likelihood of future Tibetan rebellion remains low to moderate. The factors suggesting future rebellion include 1) a territorial concentration and 2) a high level of group organization and cohesion. In addition, the high likelihood of rebellion remains if China 1) continues its cultural and religious restrictions and 3) insists on declining the Dalai Lama's request of regional autonomy, despite its economic development in Tibet. The likelihood of protest is also moderate, as the Tibetans have several risk factors, including ongoing political and cultural restrictions, recent repression and support from kindred groups abroad. In comparison to many ethnopolitical groups, the Tibetans continue to attract the attention of Western governments and various non-governmental organizations. Organizations such as the European Parliament regularly pass resolutions condemning China's human rights practices in Tibet. However, no country to date has challenged Beijing's claim that Tibet is a part of China. The unique role of the Dalai Lama is perhaps the major reason for Tibet's international exposure. His spiritual, non-violent approach and frequent travels around the world have not only generated much interest in Tibetan Buddhism but they also serve to maintain attention to the status of the Tibetans and Chinese practices in the region."
10004,"Four factors increase the likelihood of future indigenous protest and rebellion in Colombia: persistent protest in past decade; territorial concentration; high levels of group organization and cohesion; and government repression. Three factors favor the containment of rebellion: a recent history of democratic government and elections; transnational support for settlement; and lack of serious armed conflicts in neighboring countries. Indigenous groups in Colombia remain overwhelmingly the victims and not the antagonists of the nation's bloody civil war. However, the governments failure to secure militarized indigenous regions and to protect indigenous lands from corporate exploitation has kept the indigenous community in a state of high risk. Coupled with recent episodes of violent protest, repression and the presidential veto of the law requiring government soldiers to be tried in regular courts for human rights abuses, these failures to address indigenous demands have greatly increased the probability of future indigenous participation in violent protest and guerrilla activity. The largely ideological support expressed by external parties specifically for indigenous issues, the lack of armed conflicts across the countrys five borders and the recent succession of democratic elections are not sufficient to mitigate the risk of future rebellion."
35201,"The most recent attempt to resolve the conflict in Cyprus ' the referendum on the Annan plan in 2004  failed, with the majority of Greek Cypriots rejecting the plan and the majority of Turkish Cypriots supporting it. Given its failure, a long-term solution to the stalemate on the island is not likely in the near future. With the long history of tension between the Greek and Turkish Cypriots and Greece and Turkey proper, it is likely that some form of Turkish Cypriot protests will continue, as will the inter-communal tension and periodic violence between Turks and Greeks. Because of the large international presence on and attention dedicated to the island, it is very unlikely that the Turks will resort to militant activity, although sporadic low-level violence is possible. Turkish Cypriots are not targeted with repression, and their present political isolation is self-imposed. Therefore, the factors that usually lead to militant action are not present, beyond a history of protest. The current period of relative calm and willingness to negotiate must be capitalized on to resolve the situation on the island of Cyprus in hopes of alleviating the long-standing tensions between the Turkish and Greek Cypriots."
53001,"Afars in Ethiopia have several risk factors for rebellion, including territorial concentration and a relatively high level of group organization. With ideological encouragement from Afars residing in Djibouti and Eritrea, radical actions from the ARDUF, and a still unsettled border dispute between Ethiopia and Eritrea (although a peace agreement was formally signed between the two in December 2000), the fine line between future political protest and continued Afar rebellion remains tenuous at best. While positive remedial steps have taken place in the political arena, Ethiopia's history and demographics make the Afar a disadvantaged minority at risk, although this has not resulted in explicit government repression against non-militant Afars of late. The precarious heterogeneity of Ethiopian society, with Tigreans, Amhara, Oromo and Somalis all also vying for political power, should make the condition of the Afars in Ethiopia unresolved for years to come. Recent drought throughout Ethiopia also has exacerbated living conditions for Afars, and the spread of disease such as AIDS as well as ethnic conflict with other minorities in order to secure access to grazing lands continue to place extreme pressures on the Afar population."
22002,"The risk of rebellion by French Basques is likely to be substantially influenced by what happens in Spain. This diverges somewhat from other minorities because factors leading to increased risk of rebellion such as 1) persistent protest, 2) high levels of group organization and cohesion, 3) regime instability and 4) government repression are virtually non-existent in the French Basque territory. The French Basques are at a risk of rebellion due to the presence of persistent attacks carried out by Basques activists in neighboring Spain. The French Basques are at little risk of protest as they lack many of the risk factors for protest such as political and cultural restriction, living in an unstable democratic regime and recent repression.  When the Basques in Spain slow down their terrorist activities, the same occurs in France, and it seems that terrorist acts committed in France are often, if not always, bolstered by Spanish activists. ETA activists continue to take refuge among welcoming kindred on the French side of the border. Large quantities of weapons and explosives discovered periodically by French police seem to indicate that at least a small group of separatists is willing to continue fighting for independence, and the recent threat directed towards soccer player Bixente Lizarazu shows the attempts of separatists to put their causes on the front page of newspapers."
22004,"The Corsicans' behavior diverges from many other minority groups in that their persistent rebellion is not mirrored by many factors known to cause such rebellion, such as: 1) high levels of group organization and cohesion, 2) regime instability, 3) and government repression. While Corsicans as a people appear to be highly cohesive with high levels of territorial concentration, organizations, particularly the violent separatists, have varying levels of cohesion.  In contrast, factors that are thought to inhibit rebellion have not worked in Corsica, such as: 1) residing in a democratic regime, 2) efforts at negotiation and reform, and 3) lack of serious regional armed conflicts. The chances for containing these sporadic acts of terrorism are largely determined by how well recent reforms were accepted by conventional parties, and their ability to control the militant aspects of Corsican society. The greater threat to peace, however, seems to lie with the Corsicans themselves. Though the majority of Corsican nationalist violence does not take lives, there is a very strong criminal element intertwined with the nationalist movement, making any type of self-government seem unlikely. If the sporadic allegations that Corsican bombings are financially and criminally - rather than politically - motivated prove true, the quest for separatism may be cast in an entirely different light. In the meantime, however, the bombings seem likely to continue. Moreover, the resignation of the Minister of Interior, the rejection of formal autonomy proposals from the government to Corsicans, and political turmoil over the island do not show signs that the conflict will abate.  While the Corsicans lack many of the factors encouraging protest such as political and cultural restrictions, democratic regime instability and kindred support, recent protest activity suggests that protest may continue to be a tactic used by Corsicans. Recent repression of the group may also be a contributing factor in future protests."
